No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2257,RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,USA,9.78B,30.82,75.44,0.12%,"286,119"
2256,AMN,"AMN Healthcare Services, Inc.",Industrial Goods,General Building Materials,USA,3.70B,30.72,78.54,9.11%,"1,149,171"
2255,WM,"Waste Management, Inc.",Industrial Goods,Waste Management,USA,53.28B,30.66,125.75,1.22%,"1,296,529"
2254,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19.54B,30.62,94.36,-0.17%,"1,602,047"
2253,TIF,Tiffany & Co.,Services,Jewelry Stores,USA,16.27B,30.61,134.27,-0.07%,"917,044"
2252,PICO,"PICO Holdings, Inc.",Conglomerates,Conglomerates,USA,208.89M,30.51,10.19,-1.07%,"51,402"
2251,ALLE,Allegion plc,Services,Security & Protection Services,Ireland,12.96B,30.45,138.9,1.51%,"748,133"
2250,SIMO,Silicon Motion Technology Corporation,Technology,Diversified Electronics,Taiwan,1.75B,30.42,46.15,-3.09%,"199,812"
2248,COWN,Cowen Inc.,Financial,Investment Brokerage - National,USA,602.80M,30.41,17.12,-0.52%,"255,401"
2249,AMRC,"Ameresco, Inc.",Services,Technical Services,USA,1.03B,30.41,21.56,-2.00%,"125,618"
2246,EFT,Eaton Vance Floating-Rate Income Trust,Financial,Closed-End Fund - Debt,USA,559.69M,30.39,14.04,0.07%,"84,882"
2247,BRID,Bridgford Foods Corporation,Consumer Goods,Meat Products,USA,186.62M,30.39,21.7,2.21%,"1,092"
2245,DOOO,BRP Inc.,Consumer Goods,Recreational Vehicles,Canada,2.14B,30.38,56.51,0.96%,"28,924"
2244,ARKR,Ark Restaurants Corp.,Services,Restaurants,USA,80.89M,30.35,22.85,0.44%,123
2243,PSEC,Prospect Capital Corporation,Financial,Asset Management,USA,2.40B,30.33,6.52,-0.61%,"1,232,923"
2242,BP,BP PLC,Basic Materials,Major Integrated Oil & Gas,United Kingdom,123.79B,30.3,36,-0.50%,"8,780,744"
2241,FR,"First Industrial Realty Trust, Inc.",Financial,REIT - Industrial,USA,5.85B,30.29,46.01,0.35%,"799,988"
2240,RH,RH,Services,Home Furnishing Stores,USA,4.58B,30.28,238.18,-0.20%,"457,733"
2237,WIW,Western Asset Inflation-Linked Opportunities & Income Fund,Financial,Closed-End Fund - Debt,USA,720.75M,30.21,11.78,0.00%,"63,653"
2238,PHG,Koninklijke Philips N.V.,Consumer Goods,Electronic Equipment,Netherlands,43.82B,30.21,48.42,-0.02%,"473,052"
2239,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,157.60B,30.21,66.38,0.45%,"7,480,826"
2236,NDSN,Nordson Corporation,Industrial Goods,Diversified Machinery,USA,10.39B,30.2,177.49,-0.07%,"143,265"
2235,TLF,"Tandy Leather Factory, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,47.24M,30.15,5.18,0.48%,"29,539"
2234,L,Loews Corporation,Financial,Property & Casualty Insurance,USA,16.14B,30.12,54.19,0.24%,"930,305"
