No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
402,MUI,"BlackRock Muni Intermediate Duration Fund, Inc.",Financial,Closed-End Fund - Debt,USA,566.02M,8.54,14.78,0.07%,"60,343"
401,IMOS,ChipMOS TECHNOLOGIES INC.,Technology,Semiconductor Equipment & Materials,Taiwan,731.74M,8.53,19.75,-1.89%,"18,960"
399,C,Citigroup Inc.,Financial,Money Center Banks,USA,155.11B,8.52,69.43,-4.27%,"27,277,574"
400,KKR,KKR & Co. Inc.,Financial,Asset Management,USA,26.07B,8.52,30.19,-4.55%,"3,916,080"
398,WTM,"White Mountains Insurance Group, Ltd.",Financial,Property & Casualty Insurance,Bermuda,3.54B,8.51,1108.84,-1.65%,"12,749"
397,NAZ,Nuveen Arizona Quality Municipal Income Fund,Financial,Asset Management,USA,161.62M,8.5,13.97,-1.92%,"62,454"
396,VBF,Invesco Bond Fund,Financial,Closed-End Fund - Debt,USA,233.23M,8.49,20.5,-1.20%,"21,176"
395,WCC,"WESCO International, Inc.",Services,Industrial Equipment Wholesale,USA,1.85B,8.48,43.74,-5.43%,"885,246"
394,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,Financial,Closed-End Fund - Equity,USA,1.29B,8.47,16.85,-5.28%,"588,822"
393,MFC,Manulife Financial Corporation,Financial,Life Insurance,Canada,35.27B,8.46,17.64,-1.89%,"4,243,248"
391,NPV,Nuveen Virginia Quality Municipal Income Fund,Financial,Diversified Investments,USA,262.45M,8.45,14.68,-0.34%,"41,374"
392,NWLI,"National Western Life Group, Inc.",Financial,Life Insurance,USA,973.35M,8.45,268.88,-2.23%,"19,435"
390,SLM,SLM Corporation,Financial,Credit Services,USA,4.73B,8.43,10.99,-6.23%,"3,844,054"
387,CIF,MFS Intermediate High Income Fund,Financial,Closed-End Fund - Debt,USA,56.33M,8.42,2.87,-2.71%,"87,027"
388,COP,ConocoPhillips Company,Basic Materials,Independent Oil & Gas,USA,58.64B,8.42,53.83,-4.52%,"10,359,066"
389,COF,Capital One Financial Corporation,Financial,Credit Services,USA,43.36B,8.42,92.78,-5.56%,"4,221,903"
386,CVI,"CVR Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,3.25B,8.4,31.77,-3.61%,"561,312"
385,CNHI,CNH Industrial N.V.,Industrial Goods,Farm & Construction Machinery,United Kingdom,12.02B,8.39,8.81,0.57%,"5,526,838"
384,MCY,Mercury General Corporation,Financial,Property & Casualty Insurance,USA,2.72B,8.37,48.38,-2.18%,"271,375"
383,EQC,Equity Commonwealth,Financial,REIT - Office,USA,3.94B,8.36,32.23,-2.04%,"850,927"
382,ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,37.95B,8.34,117.31,-2.68%,"2,008,156"
381,NUO,Nuveen Ohio Quality Municipal Income Fund,Financial,Asset Management,USA,289.43M,8.31,15.8,-0.06%,"18,039"
380,PRU,"Prudential Financial, Inc.",Financial,Life Insurance,USA,33.80B,8.3,84.06,-4.29%,"2,931,329"
379,CCL,Carnival Corporation & Plc,Services,Resorts & Casinos,USA,24.61B,8.29,35.84,-5.08%,"16,143,101"
378,BWA,BorgWarner Inc.,Consumer Goods,Auto Parts,USA,6.57B,8.28,30.77,-4.32%,"6,566,384"
377,ET,Energy Transfer LP,Basic Materials,Oil & Gas Equipment & Services,USA,31.11B,8.25,11.22,-2.86%,"36,976,977"
375,RM,Regional Management Corp.,Financial,Credit Services,USA,305.96M,8.23,27.49,-2.76%,"63,394"
376,ESNT,Essent Group Ltd.,Financial,Mortgage Investment,Bermuda,4.59B,8.23,46.57,-1.48%,"1,134,035"
374,SVT,"Servotronics, Inc.",Industrial Goods,Industrial Electrical Equipment,USA,25.27M,8.22,10.15,0.56%,421
373,UBOH,"United Bancshares, Inc.",Financial,Money Center Banks,USA,75.66M,8.21,22.45,-0.94%,"3,688"
372,WSTG,"Wayside Technology Group, Inc.",Services,Computers Wholesale,USA,78.11M,8.19,16.87,-3.32%,"7,747"
370,NQP,Nuveen Pennsylvania Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,548.41M,8.18,14.67,0.00%,"25,222"
371,CPSS,"Consumer Portfolio Services, Inc.",Financial,Credit Services,USA,82.13M,8.18,3.65,-4.45%,"35,804"
369,HBI,Hanesbrands Inc.,Consumer Goods,Textile - Apparel Clothing,USA,4.94B,8.17,13.42,-4.69%,"6,996,568"
368,EDUC,Educational Development Corporation,Services,Publishing - Books,USA,47.12M,8.16,5.55,-3.81%,"14,093"
366,STX,Seagate Technology plc,Technology,Data Storage Devices,Ireland,13.33B,8.15,50.42,-3.11%,"3,425,694"
367,NMZ,Nuveen Municipal High Income Opportunity Fund,Financial,Asset Management,USA,1.10B,8.15,14.91,0.47%,"293,020"
363,NMY,Nuveen Maryland Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,324.78M,8.14,14.06,-0.07%,"32,539"
364,FT,Franklin Universal Trust,Financial,Closed-End Fund - Debt,USA,196.51M,8.14,7.82,-3.70%,"160,640"
365,CIT,CIT Group Inc.,Financial,Credit Services,USA,4.15B,8.14,42.94,-5.73%,"1,158,798"
362,NBW,Neuberger Berman California Municipal Fund Inc.,Financial,Asset Management,USA,80.77M,8.13,14.55,-0.34%,"8,146"
361,GIII,"G-III Apparel Group, Ltd.",Consumer Goods,Textile - Apparel Clothing,USA,1.17B,8.12,23.74,-5.15%,"606,371"
360,FSBW,"FS Bancorp, Inc.",Financial,Regional - Pacific Banks,USA,215.28M,8.11,49.49,-1.12%,"14,462"
359,PANL,"Pangaea Logistics Solutions, Ltd.",Services,Shipping,USA,126.74M,8.06,2.87,-0.69%,"18,405"
358,FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,19.49B,8.05,27.07,-4.38%,"6,310,776"
357,KSM,DWS Strategic Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,138.70M,8.04,12.38,0.32%,"21,852"
356,MTOR,"Meritor, Inc.",Consumer Goods,Auto Parts,USA,1.71B,8.03,23.04,-3.72%,"1,584,302"
355,CEV,Eaton Vance California Municipal Income Trust,Financial,Asset Management,USA,98.16M,8,13.76,-0.15%,"14,667"
354,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.64B,7.99,15.48,-3.49%,"706,795"
353,CRT,Cross Timbers Royalty Trust,Basic Materials,Oil & Gas Drilling & Exploration,USA,49.02M,7.98,8.17,-8.00%,"39,671"
352,RNP,"Cohen & Steers REIT and Preferred Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,1.13B,7.94,23.79,-3.88%,"341,602"
351,OZK,Bank OZK,Financial,Regional - Southeast Banks,USA,3.41B,7.93,26.18,-2.20%,"1,051,909"
350,CSQ,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt,USA,2.05B,7.92,13.23,-4.27%,"676,075"
348,NKX,Nuveen California AMT-Free Quality Municipal Income Fund,Financial,Asset Management,USA,758.90M,7.9,15.97,-0.37%,"61,036"
